id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
23Zq0ciNDoLxD0PD9Nyk0Y,"Le Bourgeois Gentilhomme – Suite Op.60: VIII Prelude, Scene 2",0,190360,0,"['Richard Strauss', 'London Philharmonic Orchestra']","['6pAwHPeExeUbMd5w7Iny6D', '3PfJE6ebCbCHeuqO4BfNeA']",1929,0.18,0.0705,8,-22.359,1,0.0451,0.975,0.446,0.156,0.0944,76.861,3
25qpxmFo3YSdHSUckkgI1P,Hutchinson´s Rag - Remastered,0,176175,0,['Frank Hutchinson'],['5tLcyFQXxrtCymkMiIA8cn'],1929-01-12,0.446,0.527,7,-14.144,1,0.0292,0.854,0.531,0.375,0.886,89.072,4
28YiLQjVcTcVNTNfpZhmvR,Pig Meat On The Line,2,152733,0,['Memphis Minnie'],['2WGyRLosdDgGJTLijIPpNC'],1929,0.742,0.165,0,-11.153,1,0.0446,0.991,0.00412,0.109,0.491,132.815,4
28lYaajTcCxPjoRrfwH9pJ,Penas Pasadas - Instrumental (Remasterizado),0,167507,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-11-06,0.675,0.109,10,-19.363,1,0.0527,0.995,0.954,0.109,0.694,116.617,4
28qJYFKbQS4fB1fNNxtuYR,Del Viejo Barrio Porteño - Remasterizado,0,193973,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-18,0.675,0.277,0,-8.364,0,0.0738,0.992,0.21,0.299,0.655,119.721,4
29Em4l15QlYxmAR9SAKFC9,Whoopee Blues,0,207430,0,['King Solomon Hill'],['5fJqKIhjv3fatslXWyKysG'],1929,0.68,0.133,1,-10.156,1,0.0657,0.99,0.795,0.109,0.68,142.703,4
29F5Wt9hO5AEYaofNI9U5Z,My Angeline - Remasterizado,0,177000,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-22,0.479,0.211,5,-10.259,1,0.058,0.994,0.43,0.555,0.529,132.93,4
2AZdEoOPr9YvmEmGSt6QIc,O komm im Traum S. 282,0,279802,0,"['Franz Liszt', 'Theodor Scheidl', 'Franz Rupp']","['1385hLNbrnbCJGokfH2ac2', '75gLOzDsvzDL0Ky7AFPs6Y', '4eJ0Is7aMsRNr2q727NfJQ']",1929-01-01,0.287,0.128,11,-13.54,1,0.0369,0.99,0.122,0.107,0.126,96.574,3
2AvbTRlkVxqI8mdIPePu0f,Tango Argentino - Remasterizado,0,183800,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-17,0.791,0.286,9,-8.056,0,0.091,0.994,0.151,0.118,0.778,117.52,4
2BtLXL4Bvj8HDTTmgAnV3m,Schoenberg's Op. 33A,0,145880,0,['Josephine Chang'],['3GCWQOpRgBNPbQgnyH3Y6B'],1929,0.482,0.0763,5,-23.811,0,0.05,0.992,0.864,0.0917,0.101,96.609,3
2CZDAD8Yh0tBNK24KmdNeE,Good Little Bad Little You (Carroll Gibbons),0,179760,0,['Carroll Gibbons'],['7IFehwNMIwBSIf40iX0gm9'],1929,0.778,0.154,0,-16.55,1,0.0533,0.989,0.0791,0.107,0.692,95.616,4
2CqbG1ezrTnyv1PHv5v5Mc,Taciturn,0,454573,0,['Steve Correll Group'],['6yFEWWzLGZ5iYFFlgbl45b'],1929,0.675,0.318,10,-15.801,0,0.0343,0.72,0.686,0.105,0.559,126.444,4
2Dc4Cew3dBeGwmwaFjCKnw,Lazy River,1,183467,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1929,0.549,0.308,4,-9.631,0,0.0647,0.959,0.0163,0.114,0.497,101.471,4
2EnIsulKLLc2M7k5wRb08W,Nene - Instrumental (Remasterizado),0,182187,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-17,0.725,0.301,2,-7.452,1,0.073,0.993,0.194,0.0707,0.838,119.542,4
2FfD9D4V42kIR2cRZvEKpR,Mala Racha - Remasterizado,0,125227,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1929-06-21,0.626,0.106,9,-23.927,0,0.145,0.996,0.89,0.113,0.827,61.135,3
